"patientId","eventCount","activePatterns","evalAccepted","evalRejected","promoteCreate","promoteAppend","wikiAction","embedAttempted","embedEmbedded","embedFailed"
"patient-1","3","False","0","0","0","0","unchanged","0","0","0"
"patient-2","2","False","0","0","0","0","unchanged","0","0","0"
"patient-3","62","False","0","2","0","0","unchanged","0","0","0"
"patient-4","2","False","0","0","0","0","unchanged","0","0","0"
"patient-seed-1","55","False","0","3","0","0","unchanged","0","0","0"
"pattern-demo-1","36","True","1","0","0","0","unchanged","0","0","0"
"pattern-demo-2","12","False","0","0","0","0","created","0","0","0"
"pattern-demo-2b","20","True","1","0","0","0","unchanged","0","0","0"
"synthetic-confounded-1","20","False","0","0","0","0","unchanged","0","0","0"
"synthetic-confounded-2","20","False","0","0","0","0","unchanged","0","0","0"
"synthetic-confounded-3","20","False","0","0","0","0","unchanged","0","0","0"
"synthetic-nonresponder-1","15","False","0","0","0","0","unchanged","0","0","0"
"synthetic-nonresponder-2","15","False","0","0","0","0","unchanged","0","0","0"
"synthetic-nonresponder-3","15","False","0","0","0","0","unchanged","0","0","0"
"synthetic-nonresponder-4","15","False","0","0","0","0","unchanged","0","0","0"
"synthetic-responder-1","18","False","0","0","0","0","unchanged","0","0","0"
"synthetic-responder-2","18","False","0","0","0","0","unchanged","0","0","0"
"synthetic-responder-3","18","False","0","0","0","0","unchanged","0","0","0"
"synthetic-responder-4","18","False","0","0","0","0","unchanged","0","0","0"
"synthetic-responder-5","18","False","0","0","0","0","unchanged","0","0","0"
"synthetic-sparse-1","4","False","0","0","0","0","unchanged","0","0","0"
"synthetic-sparse-2","4","False","0","0","0","0","unchanged","0","0","0"
"synthetic-sparse-3","3","False","0","0","0","0","unchanged","0","0","0"
"test-patient-1","3","False","0","0","0","0","unchanged","0","0","0"
